Category,MSDRG,MSDRG Description,Helen Keller Avg. Case,Red Bay Avg. Case
Surgical,3,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.","$297,321.74 ", 
Surgical,4,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.","$175,703.66 ", 
Surgical,11,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC ", , 
Surgical,12,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC ", , 
Surgical,13,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC", , 
Cardiovascular Services,20,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC, , 
Cardiovascular Services,21,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC, , 
Neurosciences,23,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR, , 
Neurosciences,24,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC, , 
Neurosciences,25,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC, , 
Neurosciences,26,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC, , 
Neurosciences,27,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC, , 
Neurosciences,28,SPINAL PROCEDURES W MCC , , 
Neurosciences,29,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS, , 
Neurosciences,30,SPINAL PROCEDURES W/O CC/MCC , , 
Neurosciences,31,VENTRICULAR SHUNT PROCEDURES W MCC, , 
Neurosciences,32,VENTRICULAR SHUNT PROCEDURES W CC, , 
Neurosciences,33,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC, , 
Cardiovascular Services,34,CAROTID ARTERY STENT PROCEDURE W MCC, , 
Cardiovascular Services,35,CAROTID ARTERY STENT PROCEDURE W CC, , 
Cardiovascular Services,36,CAROTID ARTERY STENT PROCEDURE W/O CC/MCC, , 
Cardiovascular Services,37,EXTRACRANIAL PROCEDURES W MCC, , 
Cardiovascular Services,38,EXTRACRANIAL PROCEDURES W CC, , 
Cardiovascular Services,39,EXTRACRANIAL PROCEDURES W/O CC/MCC, , 
Neurosciences,40,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC, , 
Neurosciences,41,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM, , 
Neurosciences,42,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC, , 
Neurosciences,52,SPINAL DISORDERS & INJURIES W CC/MCC, , 
Neurosciences,53,SPINAL DISORDERS & INJURIES W/O CC/MCC, , 
Oncology,54,NERVOUS SYSTEM NEOPLASMS W MCC, , 
Oncology,55,NERVOUS SYSTEM NEOPLASMS W/O MCC, , 
Neurosciences,56,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC, , 
Neurosciences,57,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC, , 
Neurosciences,58,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC, , 
Neurosciences,59,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC, , 
Neurosciences,60,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC, , 
Neurosciences,61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC", , 
